888	Glassdoor	 Recruit Holdings
889	 LinkedIn	Bright.com
890	 Microsoft	 LinkedIn
891	 LinkedIn	 CardMunch
892	 Wirecard	 Citi Prepaid Card Services
893	United Internet	 Freenet
894	United Internet	 Open-Xchange
895	SUSS MicroTec	 Tamarack Scientific
896	 Facebook	 Eyegroove
897	 XING	 Amiando
898	Amazon.com	 PlanetAll
899	Migme	 alivenotdead.com
900	Migme	 LoveByte
901	 Microsoft	Calista Technologies
902	 Microsoft	 Bungie
903	 Microsoft	Microsoft Amalga
904	 Microsoft	Perceptive Pixel
905	 Microsoft	 Visio
906	 Microsoft	Vermeer Technologies
907	Tellme Networks	Quack.com
908	Yupi	 CiudadFutura
909	MSN	 Yupi
910	Xamarin	 RoboVM
911	 Microsoft	 WebTV
912	 Microsoft	 DirecTV
913	 Microsoft	ScreenTonic
914	 Microsoft	 Rare
915	 Red Herring	 acquired
916	 Microsoft	Placeware
917	 Microsoft	MileIQ
918	 Microsoft	Lionhead Studios
919	 LinkExchange	 MerchantPlanet
920	 Microsoft	 LinkExchange
921	Kegonsa Capital	 Jellyfish.com
922	 Microsoft	 Farecast.com
923	 announced	aQuantive
924	 Microsoft	AltspaceVR
925	 Microsoft	Wunderlist
926	 Alcatel	 Lucent
927	Microsoft	 BigPark
928	Skype Technologies	 Qik
929	 Microsoft	Skype
930	(Cork newspaper)	 Irish Times
931	 Facebook	tbh (app)
932	Bloomberg L.P.	 RTS Realtime Systems
933	Bloomberg L.P.	 PolarLake
934	 Posh Media Group	 Piczo.com
935	 Multiply.com	 Naspers Limited
936	 Google	 Zagat
937	 Bebo	 Twitch
938	 Edmodo	 NetDragon
939	 Brainly	 Bask
940	 Wachovia	 Wells Fargo
941	 AOL	 Huffington Post
942	 Telefónica	Tuenti
943	 Tinder	 Chill
944	Tagged	 Digsby
945	 Tagged	 Topicmarks
946	 Tagged	 Dash
947	Promo.com	 Unstock
948	 Oak Pacific	 Xiaonei
949	 Alibaba	 Sina Weibo
950	 Twitter	Periscope (app)
951	 Pinterest	 Hike Labs
952	 Pinterest	 Instapaper
953	 Pinterest	 Jelly Industries
954	 Nextdoor	 UK Streetlife
955	 Media	 Myspace
956	 Meetup	 Dispatch
957	 Prezi	 Infogram
958	 Google	 DocVerse
959	 Google	 Quickoffice
960	 Oracle Corporation	 Sun
961	 Sun Microsystems	StarOffice
962	 STRATEC	 Diatron
963	 Epic Games	Houseparty (app)
964	 Facebook	Instagram
965	hi5	 Big Six
966	 Tagged	hi5
967	 SMA	 SMA
968	SMA Solar Technology	 Jiangsu Zeversolar New Energy Co. Ltd.
969	Sartorius AG	 kSep Systems
970	Sartorius AG	 Umetrics
971	 QIAGEN	 Staging Inc.
972	Qiagen	 SABiosciences
973	 QIAGEN	 ESE
974	Qiagen	 Ipsogen S.A.
975	QIAGEN	 Cellestis Limited
976	 QIAGEN	 Exiqon
977	 Concord Camera Corp.	 Jenoptik
978	Evotec	 DeveloGen AG
979	 Evotec	 CCS Cell Culture Service
980	 Evotec	 Euprotec
981	 Evotec	 Sanofi
982	 Broadcom	 Alphamosaic
983	Dialog Semiconductor	 iWatt Inc
984	 Dialog	 Silego Technology
985	ADVA Optical Networking	 US MRV Communications
986	aNobii	 Mondadori
987	 Press Association	 Reuters
988	 Quarterdeck	 Future Labs
989	Webex	 Intranets.com
990	LinkedIn	 Lynda.com
991	IBM	 SPSS Inc.
992	 IBM	 Kenexa
993	 IBM	 Ustream
994	IBM	 Red Hat
995	 Deloitte	 Beijing Pan-China CPA
996	 Deloitte	 DOMANI Sustainability Consulting
997	 Deloitte	 Data Corporation
998	 Deloitte	 Monitor Group
999	CNET	 mySimon
1000	 CNET	 TechRepublic Inc.
1001	 CNET	 Webshots
1002	 CNBC	 FNN
1003	 Verizon Communications	AOL
1004	 PandoDaily	 pando.com
1005	 Gigaom	 Knowingly Corp.
1006	 Expedia	 Trover
1007	Hubert Burda Media	 Neue Verlags-Gesellschaft
1008	Hubert Burda Media	 Bauer Printing Press
1009	edocr	 Accusoft
1010	PayPal	 VeriSign
1011	 PayPal	 Fraud Sciences
1012	PayPal	 Bill
1013	 PayPal	 IronPearl
1014	 Apple	WifiSlam
1015	 Amazon	Alexa Internet
1016	 Microsoft	 Danger Inc.
1017	 Apple	 NeXT
1018	Microsoft	 LinkedIn
1019	Microsoft	Revolution Analytics
1020	 Microsoft	GitHub
1021	 Microsoft	Skype Technologies
1022	 Microsoft	 QDOS
1023	Bolt (website)	 InterMedia Inc. company
1024	 Apple	Dialog Semiconductor
1025	Hewlett-Packard	 Autonomy
1026	Hubert Burda Media	 XING
1027	Time Inc.	Myspace
1028	Meredith Corporation	Time Inc
