start	edge_type	end
1&1 Drillisch	Produces	Mobile virtual network operator
ADVA Optical Networking	Produces	Carrier Ethernet access products
ADVA Optical Networking	Produces	Network management
ADVA Optical Networking	Produces	Wavelength division multiplexers
ADVA Optical Networking	Produces	software
Adam Pisoni	Founded	Yammer
Adam Somlai-Fischer	Founded	Prezi
Adeyemi Ajao	Founded	Tuenti
Albert Popkov (founder and head)	Created by	Odnoklassniki
Allen Blue	Founded	LinkedIn
Amazon.com	Owns	Amazon (company)
Andrew Weinreich	Created by	SixDegrees.com
Anthony Duerr (Co-Founder)	Is key to	Bright.com
Apple Inc.	Developed by	Apple Mail
Apple Inc.	Developed by	Keynote (presentation software)
BB Biotech	Produces	Investment in
BB Biotech	Produces	biotechnology
Barry Diller	Is key to	Expedia Group
Barry Diller	Owns	Expedia Group
Batara Eto	Founded	Mixi
Belgian Government	Owns	Proximus Group
Ben Silbermann (	Is key to	Pinterest
Bernd Schlobohm	Is key to	QSC AG
Bill Gates	Founded	Microsoft Japan
Bonnie Fought	Is key to	Connectix
Brian Protiva	Is key to	ADVA Optical Networking
BuySellAds.com, Inc.	Owns	Digg
CEO	Is key to	1&1 Drillisch
CEO	Is key to	ADVA Optical Networking
CEO	Is key to	Bechtle
CEO	Is key to	Bright.com
CEO	Is key to	Expedia Group
CEO	Is key to	Facebook
CEO	Is key to	Foursquare City Guide
CEO	Is key to	IdeaPlane
CEO	Is key to	Jenoptik
CEO	Is key to	Pinterest
CEO	Is key to	QSC AG
CFO	Is key to	ADVA Optical Networking
CFO	Is key to	Facebook
COO	Is key to	Facebook
CTO	Is key to	ADVA Optical Networking
CTO	Is key to	Facebook
CTO	Is key to	IdeaPlane
Chairman	Is key to	1&1 Drillisch
Chairman	Is key to	ADVA Optical Networking
Chairman	Is key to	BB Biotech
Chairman	Is key to	Expedia Group
Chairman	Is key to	Facebook
Chairman	Is key to	Jenoptik
Chairman	Is key to	QSC AG
Christina Hall	Is key to	LinkedIn
Christoph Glingener (	Is key to	ADVA Optical Networking
ClearSlide	Developed by	SlideRocket
Connectix	Produces	DoubleTalk
Connectix	Produces	MAXIMA
Connectix	Produces	MODE32
Connectix	Produces	Optima
Connectix	Produces	QuickCam
Connectix	Produces	RAM Doubler
Connectix	Produces	Speed Doubler
Connectix	Produces	Virtual
Connectix	Produces	Virtual Game Station
Connectix	Produces	Virtual PC
Connectix	Produces	Virtual Server
Dan Pelson	Created by	Bolt (website)
Dan Serfaty, Thierry Lunati	Founded	Viadeo
David O. Sacks	Founded	Yammer
David Wehner	Is key to	Facebook
Dennis Crowley	Founded	Foursquare City Guide
Dennis Crowley	Is key to	Foursquare City Guide
Dominique Leroy	Is key to	Proximus Group
Donya Labs AB	Authored	Simplygon
Dow Jones	Owns	All Things Digital
Dr Ben Medlock	Authored	SwiftKey
Dr. Stefan Traeger	Is key to	Jenoptik
EasyHi Ltd	Owns	Promo.com
Eddie Lou, Jeff Pieta, Sean Casey	Founded	Shiftgig
Eduardo Vivas (Co-Founder)	Is key to	Bright.com
Eric Ly	Founded	LinkedIn
Eric Traut	Is key to	Connectix
Erich Hunziker	Is key to	BB Biotech
Eugen Rochko,	Developed by	Mastodon (software)
Evan Sharp (chief product officer)	Is key to	Pinterest
Expedia Group	Produces	ALICE
Expedia Group	Produces	BedandBreakfast.com
Expedia Group	Produces	CarRentals.com
Expedia Group	Produces	Classic Vacations
Expedia Group	Produces	Ebookers
Expedia Group	Produces	Egencia
Expedia Group	Produces	Expedia Affiliate Network
Expedia Group	Produces	Expedia CruiseShipCenters
Expedia Group	Produces	Expedia Global Partner Solutions
Expedia Group	Produces	Expedia Local Expert
Expedia Group	Produces	Expedia.com
Expedia Group	Produces	HomeAway
Expedia Group	Produces	Hotels.com
Expedia Group	Produces	Hotwire Group
Expedia Group	Produces	Orbitz
Expedia Group	Produces	Travelocity
Expedia Group	Produces	trivago
