nodes	props	values
1&1 Drillisch	Founded	1983
1&1 Drillisch	Headquarters	Germany
1&1 Drillisch	Headquarters	Maintal
1&1 Drillisch	Industry	Telecommunications
1&1 Drillisch	Number of employees	3,142
1&1 Drillisch	Operating income	€567.2 million
1&1 Drillisch	Revenue	€3.663 billion
1&1 Drillisch	Total assets	€5.247 billion
1&1 Drillisch	Type	Aktiengesellschaft
1&1 Drillisch	Website	www
2012 LinkedIn hack	Location	Globally
2012 LinkedIn hack	Website	www
ADVA Optical Networking	Founded	1994
ADVA Optical Networking	Headquarters	Germany
ADVA Optical Networking	Headquarters	Martinsried
ADVA Optical Networking	Industry	Telecommunications
ADVA Optical Networking	Number of employees	1,886
ADVA Optical Networking	Operating income	€15.0 million
ADVA Optical Networking	Revenue	502.0 million
ADVA Optical Networking	Revenue	€
ADVA Optical Networking	Total assets	€486.5 million
ADVA Optical Networking	Type	Societas Europaea
ADVA Optical Networking	Website	www
ActivityPub	Website	https://activitypub.rocks/
AdMob	Founded	2006-04-10
AdMob	Founded	April 10, 2006
AdMob	Headquarters	California
AdMob	Headquarters	Mountain View
AdMob	Headquarters	U.S.
AdMob	Industry	Mobile advertising
AdMob	Type	Google
AdMob	Type	Subsidiary of
AdMob	Website	www
All Things Digital	Current status	Inactive
All Things Digital	Headquarters	San Francisco, United States
All Things Digital	Launched	April 16, 2007
All Things Digital	Website	www
Amazon (company)	Alexa rank	10
Amazon (company)	Available in	Arabic
Amazon (company)	Available in	Chinese
Amazon (company)	Available in	Dutch
Amazon (company)	Available in	English
Amazon (company)	Available in	French
Amazon (company)	Available in	German
Amazon (company)	Available in	Italian
Amazon (company)	Available in	Japanese
Amazon (company)	Available in	Portuguese
Amazon (company)	Available in	Spanish
Amazon (company)	Available in	Turkish
Amazon (company)	Current status	Online
Amazon (company)	Launched	1995
Amazon (company)	Website	amazon
Amazon (company)	Written in	C++
Amazon (company)	Written in	Java
Apple Mail	License	Proprietary software
Apple Mail	Operating system	iOS
Apple Mail	Operating system	iPadOS
Apple Mail	Operating system	macOS
Apple Mail	Operating system	watchOS
Apple Mail	Type	Email client
Apple Worldwide Developers Conference	Website	developer
BB Biotech	Founded	9 November 1993
BB Biotech	Founded	Schaffhausen
BB Biotech	Founded	Switzerland
BB Biotech	Headquarters	Küsnacht
BB Biotech	Industry	Investments
BB Biotech	Operating income	CHF
BB Biotech	Total assets	CHF 1.3763 billion
BB Biotech	Type	Aktiengesellschaft
BB Biotech	Website	www.bbbiotech.ch
Bechtle	Founded	1983
Bechtle	Headquarters	Germany
Bechtle	Headquarters	Neckarsulm
Bechtle	Industry	IT services
Bechtle	Number of employees	10,000
Bechtle	Revenue	€4.3 billion
Bechtle	Type	Aktiengesellschaft
Bechtle	Website	www.bechtle.com
Bing (search engine)	Advertising	Bing Ads
Bing (search engine)	Advertising	Formally known as adCenter,
Bing (search engine)	Advertising	pay per click
Bolt (website)	Available in	English
Bolt (website)	Current status	Inactive
Bolt (website)	Launched	1996
Bolt (website)	Website	Bolt.com
Brainly	Operating system	Android
Brainly	Operating system	iOS
Brainly	Website	https://brainly.pl,%20https://brainly.com
Bright.com	Founded	2011-02
Bright.com	Founded	California
Bright.com	Founded	San Francisco
Bright.com	Founded	United States
Bright.com	Headquarters	690 5th St,
Bright.com	Headquarters	California
Bright.com	Headquarters	San Francisco
Bright.com	Headquarters	United States
Bright.com	Industry	Job search engine
Bright.com	Industry	Online services
Bright.com	Type	Private
Bright.com	Website	www
Cloob	Available in	Persian
Cloob	Current status	Active
Cloob	Launched	December 21, 2004
Cloob	Website	cloob.com
Connectix	Founded	1988-10
Connectix	Founded	October 1988
Connectix	Headquarters	San Mateo
Connectix	Industry	Computer software
Connectix	Industry	hardware
Digg	Advertising	None
Digg	Area served	Worldwide
Digg	Available in	English
Digg	Current status	Active
Digg	Employees	26 (2015)
Digg	Founded	2004-11
Digg	Founded	November 2004
Digg	Headquarters	New York City
Digg	Headquarters	United States
Digg	Launched	2004-12-05
Digg	Launched	December 5, 2004
Digg	Revenue	8.5 million (2008 est.)
Digg	Revenue	US$
Digg	Website	digg
Digg	Written in	Python
Directorate-General for External Security	Employees	6,102
Directorate-General for External Security	Headquarters	141 Boulevard Mortier,
Directorate-General for External Security	Headquarters	France
Directorate-General for External Security	Headquarters	Paris XX
Directorate-General for External Security	Website	www
Eric Ly	Title	Founder, CEO, Presdo, Co-founder LinkedIn
Expedia Group	Founded	1996-10-22
Expedia Group	Founded	Microsoft
Expedia Group	Founded	October 22, 1996
Expedia Group	Headquarters	Bellevue
Expedia Group	Headquarters	U.S.
Expedia Group	Headquarters	Washington
Expedia Group	Industry	Travel technology
Expedia Group	Operating income	US$625.1 million
Expedia Group	Revenue	11.2 billion
Expedia Group	Revenue	US$
Expedia Group	Total assets	US$18.51 billion
Expedia Group	Type	Public
Expedia Group	Website	www
Facebook	Area served	United States (2004–present)
Facebook	Area served	Worldwide, except
Facebook	Area served	blocking countries
Facebook	Founded	2004-02-04
Facebook	Founded	Cambridge, Massachusetts
Facebook	Founded	February 4, 2004
Facebook	Headquarters	1 Hacker Way (aka 1601 Willow Road),
Facebook	Headquarters	Menlo Park, California
Facebook	Headquarters	U.S.
Facebook	Industry	Advertising
Facebook	Industry	Social media
Facebook	Number of employees	39,651 (June 30, 2019)
Facebook	Revenue	55.838 billion (2018)
Facebook	Revenue	US$
Facebook	Type	Public
Facebook	Website	newsroom
Federal Office for the Protection of the Constitution	Employees	3,500 (2017)
Federal Office for the Protection of the Constitution	Headquarters	Cologne
Federal Office for the Protection of the Constitution	Website	www.verfassungsschutz.de
FitFinder	Advertising	Banner ads
FitFinder	Advertising	referral marketing
FitFinder	Area served	United Kingdom
FitFinder	Available in	English
FitFinder	Current status	Inactive as of 28 May 2010
FitFinder	Founded	London
FitFinder	Headquarters	London
FitFinder	Headquarters	University College London
FitFinder	Launched	23 April 2010
FitFinder	Website	www.thefitfinder.co.uk
Foursquare City Guide	Area served	Worldwide
Foursquare City Guide	Available in	English,
Foursquare City Guide	Available in	French
Foursquare City Guide	Available in	German
Foursquare City Guide	Available in	Indonesian
Foursquare City Guide	Available in	Italian
Foursquare City Guide	Available in	Japanese
Foursquare City Guide	Available in	Korean
Foursquare City Guide	Available in	Portuguese
Foursquare City Guide	Available in	Russian
Foursquare City Guide	Available in	Spanish
Foursquare City Guide	Available in	Thai
Foursquare City Guide	Available in	Turkish
Foursquare City Guide	Current status	Active
Foursquare City Guide	Employees	300
Foursquare City Guide	Founded	New York City, New York
Foursquare City Guide	Headquarters	New York City
Foursquare City Guide	Headquarters	United States
Foursquare City Guide	Launched	2009-03-11
Foursquare City Guide	Launched	March 11, 2009
Foursquare City Guide	Type of business	Private
Foursquare City Guide	Website	foursquare
General Directorate for Internal Security	Headquarters	84 Rue de Villiers,
General Directorate for Internal Security	Headquarters	France
General Directorate for Internal Security	Headquarters	Levallois-Perret
General Directorate for Internal Security	Website	interieur
Google AdSense	Initial release	2003-06-18
Google AdSense	Initial release	June 18, 2003
Google AdSense	Operating system	Cross-platform
Google AdSense	Type	Online advertising
Google AdSense	Website	www
Google Play	Initial release	2008-10-22
Google Play	Initial release	October 22, 2008
Google Play	Operating system	Android
Google Play	Type	App store
Google Play	Type	Digital distribution
Google Play	Website	play
Google Slides	Initial release	2009-08-19
Google Slides	Initial release	August 19, 2009
Google Slides	Type	Web application framework
Google Slides	Type	scripting language
Google Slides	Website	script
Google Slides	Written in	JavaScript
GreenButton	Founded	2006
GreenButton	Founded	Wellington, New Zealand
GreenButton	Headquarters	New Zealand
GreenButton	Headquarters	Wellington, New Zealand
GreenButton	Industry	Cloud computing
GreenButton	Website	www
Grono.net	Founded	2004
Hello (social network)	Headquarters	San Francisco
Hewlett-Packard	Area served	Worldwide
Hewlett-Packard	Founded	1939-01-01
Hewlett-Packard	Founded	January 1, 1939
Hewlett-Packard	Headquarters	California
Hewlett-Packard	Headquarters	Palo Alto
